One-Design 14 (Std.Rig),OD14,88.3
Optimist Pram (Int.),OP,123.6
Ospray (O'Day),OSPRA,105.7
Osprey Mk 1&2,OS-1,85
Osprey Mk 2&3,OS-3,84.8
Overnighter (Tanzer),OVN16,102.5
Paceship 17,PSC17,107.4
Pelican (San Fran.),PELI,131.2
Penguin,PG,111.5
Petrel,PET,115.6
Phantom (Lateen Rig),PHNTM,103.5
Pintail,PINT,105
Pirateer,PIRAT,102.9
"""PiXel 13'9""""",PIX,96.4
Point Jude,PTJ15,105
Porpoise 12,PRP12,114.6
Precision 14,PRS14,103.5
Precision 15,PRS15,96.6
Precision 16,PRS16,100.1
Precision 18.5 no spi,PRS185,90.2
Puffer,PUF,110.4
R18 (Erre 18) (Italy),R18,94.3
Raider 16,RDR16,91.4
Ranger 11,RNG11,120
Ranger 12,RNG12,113
Ranger 16,RNG16,111.2
Ranger 9,RNG9,122.9
Rascal,RSCL,108.9
Raven,RA,83
Rebel,REB,96.9
Redhead,RED,99.6
Renegade,REN,109
Rhodes Bantam,RB,97.4
Rinky Dink,RINKY,112
Roadrunner,ROAD,95.3
Robin,RBN,124.9
Ross 13,ROS13,104.1
RS 200 Slp spi,RS200,88.3
RS 400 Slp spi,RS400,82.3
RS 600,RS600,76.2
RS 700 spi,RS700,73.3
RS 800 Slp spi,RS800,77
RS Feva,RSFEV,105.2
RS Vareo spi,RSVAR,92.7
S-12,S-12,121.6
Sabot Naples,SBT-N,136.4
Sabot U.S.,SBT,119.6
Sailbird,SLB,97.3
Sailfish,SAF,118.4
Sailstar,SLS,111.5
San Clemente 16,SCT16,120
Sandpiper 100 (Sloop),SDP100,112
Sandpiper 15 (Marshall),SNDPR,112.7
Satellite,SATL,101
Schwill 16,SCH16,99.7
Scorpion,SCOR,112.1
Sea Pearl 21 (Cat Ketch),SPL21K,96.6
Sea Snark (Snark),SNAR,129.1
Sea Witch (Sunchaser II),SWCH,112.2
Seabird,SBD,117.1
Sesame,SESA,114.5
Shellback,SHB,110
Sidewinder (Sloop),SWND,98.9
"""Siren (17'2"""")",SRN17,114.1
Sirocco 15,SRC15,97.2
Skate 7.5' Beam (Can.),SKAT2,93.4
Skidley,SKID,91.3
Skipjack,SJ,93.1
Skylark,SL,116.4
Snipe (Int.),SN,91.9
Solar Sailer 13' Expo,SOS13,122.7
Solo,SOLO,94
Spanker (Brazil),SPKR,97
Sparkler,SPKL,132.2
Speedball,SPDBL,95.2
"""Spindrift 13'4""""",SPN13,104.5
Spindrift 15,SPN15,100.5
Spindrift 16,SPN16,101
Spree,SPR,93
Sprite,SP,116
SR 17,SR-17,83.1
Starcraft,STC,117.6
Stardancer 14,STD14,110.3
Starfire,STF,113.3
Starfish,STFS,103.4
Starwind 13.5,SWN135,98.5
"""Stealth cat rig A.spi",STH,88
Streaker,STRK,97.7
Suicide (Develop.Class),SUI,80.7
Sun Cat (Cat Rig),SUNC,102.8
Sunbird,SBRD,114
Sunfish (Int.),SF,99.6
Sunflower,SUNF,131.7
Sunspot,SUNSP,123
Super Porpoise 14,SPOR,107.4
Super Satellite,SSAT,99
Super Snark 2 (SSII),SSNAR2,120.8
Super Sunfish,SSF,100.7
Super Swift (O'Day),SSFT,124.5
Supernova,SNV,89.7
Surfglas,SURGL,98.5
Surfwind,SURF,107.7
Surprise,SURP,99.8
Sweet 16,SWSX,96.2
Tanzer 14,TNZ14,111.4
Tanzer 16 w/Gen,TNZ16,97.1
Tasar,TASA,88.2
